highest_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::narrow         0.10%       3.170ms         0.20%       6.454ms      10.615us           608  
                                        aten::transpose         0.10%       3.224ms         0.14%       4.470ms       7.760us           576  
                                                aten::t         0.04%       1.334ms         0.14%       4.422ms      11.516us           384  
                                            aten::slice         0.09%       3.035ms         0.11%       3.605ms       5.777us           624  
                                          aten::resize_         0.10%       3.197ms         0.10%       3.197ms       7.953us           402  
                                             aten::view         0.09%       3.032ms         0.09%       3.032ms       1.316us          2304  
                                       aten::empty_like         0.04%       1.177ms         0.08%       2.645ms      13.776us           192  
                                       aten::as_strided         0.07%       2.452ms         0.07%       2.452ms       1.502us          1632  
                                          aten::reshape         0.05%       1.518ms         0.06%       2.121ms       5.303us           400  
                                          aten::permute         0.04%       1.401ms         0.06%       1.838ms       8.837us           208  
                                           aten::expand         0.03%       1.115ms         0.04%       1.285ms       6.178us           208  
                              aten::_local_scalar_dense         0.04%       1.226ms         0.04%       1.226ms       0.491us          2497  
                                     aten::_unsafe_view         0.03%     947.000us         0.03%     947.000us       4.932us           192  
                                          aten::qscheme         0.02%     520.000us         0.02%     520.000us       0.382us          1360  
                                          aten::q_scale         0.02%     518.000us         0.02%     518.000us       0.209us          2480  
                                     aten::q_zero_point         0.01%     456.000us         0.01%     456.000us       0.184us          2480  
                                         aten::randperm         0.01%     204.000us         0.01%     404.000us     202.000us             2  
                                           aten::select         0.01%     216.000us         0.01%     224.000us      14.000us            16  
                                             aten::set_         0.00%     155.000us         0.00%     155.000us       4.559us            34  
                                          aten::detach_         0.00%     115.000us         0.00%     150.000us       4.412us            34  
                                   aten::_reshape_alias         0.00%     148.000us         0.00%     148.000us       9.250us            16  
                                                detach_         0.00%      36.000us         0.00%      36.000us       1.059us            34  
                                     aten::resolve_conj         0.00%      26.000us         0.00%      26.000us       0.017us          1537  
                                          aten::random_         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                                           aten::detach         0.00%       3.000us         0.00%      14.000us      14.000us             1  
                                                 detach         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                    aten::scalar_tensor         0.00%       8.000us         0.00%       8.000us       8.000us             1  
                                               aten::to         0.00%       7.000us         0.00%       7.000us       0.200us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.271s
highest_fbgemm_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         5.89%     190.031ms        98.80%        3.186s     187.417ms            17  
                     aten::_native_multi_head_attention         0.77%      24.943ms        44.57%        1.437s       7.486ms           192  
                                      quantized::linear        37.57%        1.212s        37.83%        1.220s       3.050ms           400  
                                               aten::mm        23.99%     773.826ms        24.00%     773.827ms       4.030ms           192  
                                            aten::addmm         8.54%     275.398ms         9.20%     296.699ms       1.545ms           192  
                                              aten::bmm         4.74%     152.775ms         4.74%     152.787ms     397.883us           384  
                                             aten::gelu         3.44%     111.007ms         3.44%     111.007ms     578.161us           192  
                      aten::_transform_bias_rescale_qkv         2.54%      81.874ms         2.84%      91.623ms     477.203us           192  
                                       aten::dequantize         2.06%      66.381ms         2.24%      72.135ms     109.962us           656  
                                         aten::_softmax         2.15%      69.466ms         2.15%      69.466ms     361.802us           192  
                                  quantized::layer_norm         1.28%      41.226ms         1.35%      43.564ms     108.910us           400  
                              aten::quantize_per_tensor         1.22%      39.378ms         1.30%      41.973ms      90.459us           464  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         1.17%      37.795ms         1.19%      38.225ms       2.249ms            17  
                                         quantized::add         0.93%      30.059ms         1.06%      34.151ms      85.377us           400  
                                            aten::copy_         0.98%      31.708ms         0.98%      31.708ms      82.573us           384  
                                      quantized::conv2d         0.69%      22.224ms         0.82%      26.527ms       1.658ms            16  
                                       aten::contiguous         0.02%     694.000us         0.63%      20.318ms      97.683us           208  
                                            aten::clone         0.16%       5.140ms         0.61%      19.698ms      94.702us           208  
                                            aten::empty         0.42%      13.674ms         0.42%      13.674ms       9.165us          1492  
                                             aten::item         0.22%       7.127ms         0.25%       8.197ms       3.283us          2497  
                          aten::_empty_affine_quantized         0.25%       7.969ms         0.25%       7.969ms       6.468us          1232  
                                              aten::cat         0.06%       2.092ms         0.22%       7.081ms     221.281us            32  
                                           aten::narrow         0.10%       3.223ms         0.20%       6.309ms      10.377us           608  
                                        aten::transpose         0.09%       3.056ms         0.13%       4.283ms       7.436us           576  
                                                aten::t         0.04%       1.179ms         0.13%       4.062ms      10.578us           384  
                                            aten::slice         0.09%       2.877ms         0.11%       3.417ms       5.476us           624  
                                          aten::resize_         0.10%       3.330ms         0.10%       3.330ms       8.284us           402  
                                       aten::empty_like         0.03%       1.120ms         0.09%       2.833ms      14.755us           192  
                                             aten::view         0.09%       2.825ms         0.09%       2.825ms       1.226us          2304  
                                       aten::as_strided         0.07%       2.356ms         0.07%       2.356ms       1.444us          1632  
                                          aten::reshape         0.04%       1.378ms         0.06%       2.061ms       5.152us           400  
                                          aten::permute         0.05%       1.457ms         0.06%       1.838ms       8.837us           208  
                                           aten::expand         0.03%       1.113ms         0.04%       1.289ms       6.197us           208  
